"Continue Shopping","Continue Shopping",theme,frontend/Hyva/default
"Buy %1 for %2 each and","Buy %1 for %2 each and",theme,frontend/Hyva/default
save,save,theme,frontend/Hyva/default
Options,Options,theme,frontend/Hyva/default
"Choose an Option...","Choose an Option...",theme,frontend/Hyva/default
"Write Us","Write Us",theme,frontend/Hyva/default
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible.",theme,frontend/Hyva/default
Name,Name,theme,frontend/Hyva/default
Email,Email,theme,frontend/Hyva/default
"Phone Number","Phone Number",theme,frontend/Hyva/default
"What’s on your mind?","What’s on your mind?",theme,frontend/Hyva/default
Submit,Submit,theme,frontend/Hyva/default
"Contact Details","Contact Details",theme,frontend/Hyva/default
"We use cookies to make your experience better.","We use cookies to make your experience better.",theme,frontend/Hyva/default
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.",theme,frontend/Hyva/default
"Read our policy","Read our policy",theme,frontend/Hyva/default
"Allow Cookies","Allow Cookies",theme,frontend/Hyva/default
"Checkout using your account","Checkout using your account",theme,frontend/Hyva/default
"Email Address","Email Address",theme,frontend/Hyva/default
Password,Password,theme,frontend/Hyva/default
"Sign In","Sign In",theme,frontend/Hyva/default
"Forgot Your Password?","Forgot Your Password?",theme,frontend/Hyva/default
"Checkout as a new customer","Checkout as a new customer",theme,frontend/Hyva/default
"Creating an account has many benefits:","Creating an account has many benefits:",theme,frontend/Hyva/default
"See order and shipping status","See order and shipping status",theme,frontend/Hyva/default
"Track order history","Track order history",theme,frontend/Hyva/default
"Check out faster","Check out faster",theme,frontend/Hyva/default
"Address Book","Address Book",theme,frontend/Hyva/default
"Manage Addresses","Manage Addresses",theme,frontend/Hyva/default
"Default Billing Address","Default Billing Address",theme,frontend/Hyva/default
"Edit Address - billing default","Edit Address - billing default",theme,frontend/Hyva/default
"Edit Address","Edit Address",theme,frontend/Hyva/default
"Default Shipping Address","Default Shipping Address",theme,frontend/Hyva/default
"Edit Address - shipping default","Edit Address - shipping default",theme,frontend/Hyva/default
"Account Information","Account Information",theme,frontend/Hyva/default
"Contact Information","Contact Information",theme,frontend/Hyva/default
